import time: self [us] | cumulative | imported package
import time:      1257 |       1257 |                               torch.nn.modules.flatten
import time:      1453 |       1453 |                               torch.nn.modules.fold
import time:      1672 |       1672 |                               torch.nn.modules.instancenorm
import time:      2864 |       2864 |                               torch.nn.modules.linear_cross_entropy_options
import time:      2631 |       2631 |                               torch.nn.modules.loss
import time:      1801 |       1801 |                               torch.nn.modules.normalization
import time:      2102 |       2102 |                               torch.nn.modules.padding
import time:      1376 |       1376 |                               torch.nn.modules.pixelshuffle
import time:      2147 |       2147 |                               torch.nn.modules.pooling
import time:      1634 |       1634 |                                         torch.__future__
import time:      1596 |       3230 |                                       torch.nn.utils.parametrize
import time:      3300 |       6530 |                                     torch.nn.utils.parametrizations
import time:      1500 |       1500 |                                     torch.nn.utils.rnn
import time:      2010 |       2010 |                                       torch.nn.utils._named_member_accessor
import time:      1400 |       3409 |                                     torch.nn.utils.stateless
import time:      1677 |       1677 |                                       torch.utils._foreach_utils
import time:      1780 |       3457 |                                     torch.nn.utils.clip_grad
import time:      1860 |       1860 |                                     torch.nn.utils.convert_parameters
import time:      2211 |       2211 |                                     torch.nn.utils.fusion
import time:      1691 |       1691 |                                     torch.nn.utils.init
import time:      1765 |       1765 |                                     torch.nn.utils.memory_format
import time:      1603 |       1603 |                                     torch.nn.utils.spectral_norm
import time:      1501 |       1501 |                                     torch.nn.utils.weight_norm
import time:      3998 |      29520 |                                   torch.nn.utils
import time:        38 |      29557 |                                 torch.nn.utils.rnn
import time:     19221 |      48778 |                               torch.nn.modules.rnn
import time:      2456 |       2456 |                               torch.nn.modules.sparse
import time:      1926 |       1926 |                               torch.nn.modules.transformer
import time:      1542 |       1542 |                               torch.nn.modules.upsampling
import time:      3577 |     485958 |                             torch.nn.modules
import time:      2357 |       2357 |                                   torch.backends.cpu
import time:      1814 |       1814 |                                   torch.backends.cuda
import time:      1484 |       1484 |                                     torch.backends.cudnn.rnn
import time:      1499 |       2983 |                                   torch.backends.cudnn
import time:      1084 |       1084 |                                   torch.backends.cusparselt
import time:      1125 |       1125 |                                   torch.backends.kleidiai
import time:      1492 |       1492 |                                   torch.backends.mha
import time:      1625 |       1625 |                                   torch.backends.miopen
import time:      2397 |       2397 |                                   torch.backends.mkl
import time:      1819 |       1819 |                                   torch.backends.mkldnn
import time:      2623 |       2623 |                                     torch.library
import time:      1216 |       3838 |                                   torch.backends.mps
import time:      2126 |       2126 |                                   torch.backends.nnpack
import time:       808 |        808 |                                   torch.backends.openmp
import time:       538 |        538 |                                     opt_einsum
import time:      1318 |       1856 |                                   torch.backends.opt_einsum
import time:      2201 |       2201 |                                   torch.backends.python_native
import time:      2471 |       2471 |                                   torch.backends.quantized
import time:      3147 |      33137 |                                 torch.backends
import time:        56 |      33193 |                               torch.backends.cuda
import time:      2224 |       2224 |                               torch.nn.attention._registry
import time:      2520 |       2520 |                               torch.nn.attention._fa3
import time:      2294 |       2294 |                               torch.nn.attention._fa4
import time:      3474 |      43703 |                             torch.nn.attention
import time:      1209 |       1209 |                                 torch.nn.parallel.parallel_apply
import time:      1373 |       1373 |                                     torch.cuda.nccl
import time:      1425 |       2797 |                                   torch.nn.parallel.comm
import time:      1503 |       4300 |                                 torch.nn.parallel.replicate
import time:      1710 |       1710 |                                   torch.nn.parallel._functions
import time:      1837 |       3546 |                                 torch.nn.parallel.scatter_gather
import time:      1934 |      10987 |                               torch.nn.parallel.data_parallel
import time:      2134 |       2134 |                                     torch.distributed.algorithms.join
import time:      2473 |       4607 |                                   torch.distributed.algorithms
import time:        56 |       4662 |                                 torch.distributed.algorithms.join
import time:      1905 |       1905 |                                 torch.distributed.utils
import time:      4090 |      10657 |                               torch.nn.parallel.distributed
import time:      2214 |      23858 |                             torch.nn.parallel
import time:      2169 |     558372 |                           torch.nn
import time:        33 |     558404 |                         torch.nn.functional
import time:      1468 |       1468 |                           torch._linalg_utils
import time:      1853 |       3321 |                         torch._lowrank
import time:     19122 |     580846 |                       torch.functional
import time:      1813 |       1813 |                       torch.__config__
import time:      1539 |       1539 |                         torch.accelerator._utils
import time:      1626 |       1626 |                         torch.accelerator.graphs
import time:      1253 |       1253 |                         torch.accelerator.memory
import time:      2372 |       6789 |                       torch.accelerator
import time:      1654 |       1654 |                           torch.cpu.amp.autocast_mode
import time:      1407 |       1407 |                           torch.cpu.amp.grad_scaler
import time:      1924 |       4984 |                         torch.cpu.amp
import time:      1884 |       6868 |                       torch.cpu
import time:      2296 |       2296 |                           torch.distributions.constraints
import time:      1675 |       1675 |                             torch.distributions.utils
import time:      1835 |       3510 |                           torch.distributions.distribution
import time:      3127 |       8931 |                         torch.distributions.transforms
import time:      1187 |       1187 |                           torch.distributions.exp_family
import time:      1628 |       2815 |                         torch.distributions.bernoulli
import time:      4169 |       4169 |                           torch.distributions.dirichlet
import time:      1437 |       5606 |                         torch.distributions.beta
import time:      1999 |       1999 |                         torch.distributions.binomial
import time:      1575 |       1575 |                         torch.distributions.categorical
import time:      1997 |       1997 |                         torch.distributions.cauchy
import time:      2052 |       2052 |                           torch.distributions.gamma
import time:      1390 |       3442 |                         torch.distributions.chi2
import time:      1361 |       1361 |                         torch.distributions.constraint_registry
import time:      1934 |       1934 |                         torch.distributions.continuous_bernoulli
import time:      1318 |       1318 |                         torch.distributions.exponential
import time:      1054 |       1054 |                         torch.distributions.fishersnedecor
import time:      1278 |       1278 |                         torch.distributions.generalized_pareto
import time:      1402 |       1402 |                         torch.distributions.geometric
import time:      3308 |       3308 |                             torch.distributions.independent
import time:     15463 |      18770 |                           torch.distributions.transformed_distribution
import time:      1488 |       1488 |                           torch.distributions.uniform
import time:     12013 |      32269 |                         torch.distributions.gumbel
import time:      1531 |       1531 |                         torch.distributions.half_cauchy
import time:      1864 |       1864 |                           torch.distributions.normal
import time:      1483 |       3346 |                         torch.distributions.half_normal
import time:      2733 |       2733 |                         torch.distributions.inverse_gamma
import time:      1505 |       1505 |                           torch.distributions.laplace
import time:      1319 |       1319 |                             torch.distributions.multivariate_normal
import time:      1853 |       3172 |                           torch.distributions.lowrank_multivariate_normal
import time:      1332 |       1332 |                           torch.distributions.one_hot_categorical
import time:       936 |        936 |                           torch.distributions.pareto
import time:       979 |        979 |                           torch.distributions.poisson
import time:      2209 |      10129 |                         torch.distributions.kl
import time:       846 |        846 |                         torch.distributions.kumaraswamy
import time:      1018 |       1018 |                         torch.distributions.lkj_cholesky
import time:       863 |        863 |                         torch.distributions.log_normal
import time:      1023 |       1023 |                         torch.distributions.logistic_normal
import time:      1075 |       1075 |                         torch.distributions.mixture_same_family
import time:      1151 |       1151 |                         torch.distributions.multinomial
import time:      1166 |       1166 |                         torch.distributions.negative_binomial
import time:      1031 |       1031 |                         torch.distributions.relaxed_bernoulli
import time:      1074 |       1074 |                         torch.distributions.relaxed_categorical
import time:      1035 |       1035 |                         torch.distributions.studentT
import time:       976 |        976 |                               torch.jit._builtins
import time:      1429 |       1429 |                               torch.distributed.autograd
import time:      3191 |       5594 |                             torch.jit._async
import time:      1078 |       1078 |                             torch.jit._await
import time:      1427 |       1427 |                             torch.jit._decomposition_utils
import time:      1604 |       1604 |                                 torch._classes
import time:      1500 |       1500 |                                 torch.jit._fuser
import time:       652 |        652 |                                   monkeytype
import time:      1556 |       2207 |                                 torch.jit._monkeytype_config
import time:      1026 |       1026 |                                   torch.jit._check
import time:      1476 |       1476 |                                   torch.jit._state
import time:      1254 |       1254 |                                     torch.jit.annotations
import time:      1154 |       1154 |                                     torch.jit._dataclass_impls
import time:      2194 |       4601 |                                   torch.jit.frontend
import time:      1945 |       9046 |                                 torch.jit._recursive
import time:      1360 |       1360 |                                 torch.jit._serialization
import time:      3033 |      18747 |                               torch.jit._script
import time:      1361 |      20107 |                             torch.jit._freeze
import time:      1104 |       1104 |                             torch.jit._ir_utils
import time:      2359 |       2359 |                             torch.jit._trace
import time:      1994 |      33660 |                           torch.jit
import time:      1104 |      34763 |                         torch.distributions.von_mises
import time:      1360 |       1360 |                         torch.distributions.weibull
import time:      1252 |       1252 |                         torch.distributions.wishart
import time:      3071 |     135434 |                       torch.distributions
import time:      1875 |       1875 |                       torch.fft
import time:      1732 |       1732 |                       torch.hub
import time:      1506 |       1506 |                       torch.linalg
import time:      1523 |       1523 |                         torch.mps.profiler
import time:       918 |        918 |                         torch.mps.event
import time:      1613 |       4053 |                       torch.mps
import time:      1200 |       1200 |                         torch._environment
import time:      1170 |       1170 |                         torch.mtia._utils
import time:       845 |        845 |                         torch.mtia.memory
import time:      1116 |       1116 |                         torch.mtia.mtia_graph
import time:      1697 |       6026 |                       torch.mtia
import time:      1264 |       1264 |                           multiprocessing.util
import time:      1639 |       1639 |                           multiprocessing.resource_sharer
import time:      1799 |       4701 |                         torch.multiprocessing.reductions
import time:      4464 |       4464 |                             _multiprocessing
import time:      1480 |       5944 |                           multiprocessing.connection
import time:      1320 |       7264 |                         torch.multiprocessing.spawn
import time:       177 |        177 |                             runpy
import time:      1258 |       1434 |                           multiprocessing.spawn
import time:      1112 |       2546 |                         multiprocessing.resource_tracker
import time:      1991 |      16501 |                       torch.multiprocessing
import time:      1670 |       1670 |                           torch.nested._internal
import time:       937 |        937 |                                     torch.fx._compatibility
import time:      1679 |       2616 |                                   torch.fx.immutable_collections
import time:      1716 |       1716 |                                         torch.fx.experimental
import time:     10809 |      10809 |                                         torch.fx.experimental._config
import time:      1522 |       1522 |                                           torch.utils._dtype_abbrs
import time:      2401 |       2401 |                                             torch.return_types
import time:      1761 |       4162 |                                           torch.fx._pytree
import time:      1403 |       1403 |                                               torch.utils._inspect
import time:      3004 |       4406 |                                             torch.fx.operator_schemas
import time:     18697 |      23103 |                                           torch.fx.node
import time:       954 |        954 |                                                           torch.fx.experimental.unification.multipledispatch.utils
import time:       866 |        866 |                                                           torch.fx.experimental.unification.multipledispatch.variadic
import time:      1152 |       2971 |                                                         torch.fx.experimental.unification.multipledispatch.conflict
import time:      1271 |       4242 |                                                       torch.fx.experimental.unification.multipledispatch.dispatcher
import time:      1481 |       5723 |                                                     torch.fx.experimental.unification.multipledispatch.core
import time:      1642 |       7365 |                                                   torch.fx.experimental.unification.multipledispatch
import time:      1001 |       8365 |                                                 torch.fx.experimental.unification.dispatch
import time:       961 |        961 |                                                 torch.fx.experimental.unification.unification_tools
import time:       819 |        819 |                                                 torch.fx.experimental.unification.utils
import time:       923 |        923 |                                                 torch.fx.experimental.unification.variable
import time:      1912 |      12978 |                                               torch.fx.experimental.unification.core
import time:       898 |        898 |                                               torch.fx.experimental.unification.more
import time:      1680 |      15556 |                                             torch.fx.experimental.unification
import time:      1953 |      17508 |                                           torch.fx.tensor_type
import time:      4870 |      51163 |                                         torch.fx.graph
import time:      1502 |      65188 |                                       torch.fx.graph_module
import time:      1072 |      66260 |                                     torch.fx._lazy_graph_module
import time:      1770 |       1770 |                                       torch.fx.traceback
import time:      1593 |       1593 |                                             pkgutil
import time:      1317 |       1317 |                                             torch._logging.structured
import time:      2522 |       2522 |                                               unittest.mock
import time:      1228 |       1228 |                                               torch.utils._traceback
import time:      1232 |       1232 |                                               torch.utils.weak
import time:      9628 |      14608 |                                             torch._guards
import time:      3098 |      20615 |                                           torch._logging._internal
import time:      1827 |      22442 |                                         torch._logging._registrations
import time:      1773 |      24215 |                                       torch._logging
import time:      2274 |      28258 |                                     torch.fx.proxy
import time:      2618 |      97135 |                                   torch.fx._symbolic_trace
import time:       779 |        779 |                                     torch.fx.config
import time:      2592 |       3371 |                                   torch.fx.interpreter
import time:      2248 |       2248 |                                   torch.fx.subgraph_rewriter
import time:      1952 |     107319 |                                 torch.fx
import time:        30 |     107348 |                               torch.fx.experimental
import time:      1292 |     108640 |                             torch.fx.experimental._constant_symnode
import time:      1123 |     109762 |                           torch.nested._internal.nested_int
import time:      2047 |     113478 |                         torch.nested._internal.nested_tensor
import time:      1242 |     114720 |                       torch.nested
import time:      2152 |       2152 |                           torch.optim.optimizer
import time:      3097 |       5249 |                         torch.optim.lr_scheduler
import time:      1829 |       1829 |                         torch.optim.swa_utils
import time:      1537 |       1537 |                         torch.optim._adafactor
import time:      1518 |       1518 |                         torch.optim._muon
import time:      1766 |       1766 |                         torch.optim._stateless
import time:      1681 |       1681 |                         torch.optim.adadelta
import time:      1282 |       1282 |                         torch.optim.adagrad
import time:      2167 |       2167 |                         torch.optim.adam
import time:      1750 |       1750 |                         torch.optim.adamax
import time:      1484 |       1484 |                         torch.optim.adamw
import time:      1849 |       1849 |                         torch.optim.asgd
import time:      1642 |       1642 |                         torch.optim.lbfgs
import time:      1665 |       1665 |                         torch.optim.nadam
import time:      2083 |       2083 |                         torch.optim.radam
import time:      2133 |       2133 |                         torch.optim.rmsprop
import time:      2297 |       2297 |                         torch.optim.rprop
import time:      2060 |       2060 |                         torch.optim.sgd
import time:      1993 |       1993 |                           torch.optim._functional
import time:      2009 |       4001 |                         torch.optim.sparse_adam
import time:      2911 |      40896 |                       torch.optim
import time:      2603 |       2603 |                           gzip
import time:      4113 |       4113 |                             torch.profiler._utils
import time:      6264 |      10377 |                           torch.profiler._memory_profiler
import time:      3223 |      16202 |                         torch.profiler.profiler
import time:      1767 |       1767 |                         torch.profiler.itt
import time:      3263 |      21231 |                       torch.profiler
import time:      1656 |       1656 |                       torch.special
import time:      1458 |       1458 |                         torch.xpu._utils
import time:      1295 |       1295 |                         torch.xpu.graphs
import time:      1099 |       1099 |                         torch.xpu.streams
import time:      1431 |       1431 |                         torch.xpu.memory
import time:      1051 |       1051 |                         torch.xpu.random
import time:      3915 |      10246 |                       torch.xpu
import time:      1491 |       1491 |                           torch.signal.windows.windows
import time:      1198 |       2689 |                         torch.signal.windows
import time:      1392 |       4080 |                       torch.signal
import time:      1825 |       1825 |                       torch.ao
import time:      1629 |       1629 |                           torch.ao.nn
import time:      1729 |       1729 |                             torch.ao.nn.intrinsic.modules.fused
import time:      1772 |       3501 |                           torch.ao.nn.intrinsic.modules
import time:      2032 |       7162 |                         torch.ao.nn.intrinsic
import time:      1123 |       1123 |                           torch.nn.intrinsic.modules.fused
import time:      1606 |       2729 |                         torch.nn.intrinsic.modules
import time:      1428 |       1428 |                                         torch.ao.nn.qat.modules.conv
import time:      1061 |       1061 |                                         torch.ao.nn.qat.modules.embedding_ops
import time:      1329 |       1329 |                                         torch.ao.nn.qat.modules.linear
import time:      1985 |       5803 |                                       torch.ao.nn.qat.modules
import time:      1030 |       6832 |                                     torch.ao.nn.qat
import time:      2136 |       8968 |                                   torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:      1935 |       1935 |                                   torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:      1437 |       1437 |                                   torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:      2255 |      14594 |                                 torch.ao.nn.intrinsic.qat.modules
import time:      1351 |      15945 |                               torch.ao.nn.intrinsic.qat
import time:      1299 |      17243 |                             torch.nn.intrinsic.qat.modules.conv_fused
import time:       909 |        909 |                             torch.nn.intrinsic.qat.modules.linear_fused
import time:      1490 |       1490 |                             torch.nn.intrinsic.qat.modules.linear_relu
import time:      1717 |      21358 |                           torch.nn.intrinsic.qat.modules
import time:       943 |      22300 |                         torch.nn.intrinsic.qat
import time:      1988 |       1988 |                                                     torch.ao.nn.quantizable.modules.activation
import time:      1121 |       1121 |                                                     torch.ao.nn.quantizable.modules.rnn
import time:      1530 |       4637 |                                                   torch.ao.nn.quantizable.modules
import time:      1582 |       6219 |                                                 torch.ao.nn.quantizable
import time:      2037 |       2037 |                                                 torch.ao.nn.quantized.modules.activation
import time:      1051 |       1051 |                                                 torch.ao.nn.quantized.modules.batchnorm
import time:      1332 |       1332 |                                                   torch.ao.nn.quantized.modules.utils
import time:      1533 |       2865 |                                                 torch.ao.nn.quantized.modules.conv
import time:       922 |        922 |                                                 torch.ao.nn.quantized.modules.dropout
import time:      1665 |       1665 |                                                 torch.ao.nn.quantized.modules.embedding_ops
import time:      1382 |       1382 |                                                 torch.ao.nn.quantized.modules.functional_modules
import time:      1484 |       1484 |                                                 torch.ao.nn.quantized.modules.linear
import time:      1444 |       1444 |                                                 torch.ao.nn.quantized.modules.normalization
import time:      1525 |       1525 |                                                 torch.ao.nn.quantized.modules.rnn
import time:      2653 |      23242 |                                               torch.ao.nn.quantized.modules
import time:        40 |      23282 |                                             torch.ao.nn.quantized.modules.utils
import time:      1350 |      24631 |                                           torch.ao.nn.quantized.functional
import time:      1355 |      25985 |                                         torch.ao.nn.quantized
import time:      1378 |      27363 |                                       torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:      1852 |       1852 |                                       torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:      1745 |       1745 |                                       torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:      1099 |       1099 |                                       torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:      1964 |      34021 |                                     torch.ao.nn.intrinsic.quantized.modules
import time:      1597 |      35617 |                                   torch.ao.nn.intrinsic.quantized
import time:      1489 |       1489 |                                           torch.ao.nn.quantized.dynamic.modules.conv
import time:      1042 |       1042 |                                           torch.ao.nn.quantized.dynamic.modules.linear
import time:      1756 |       1756 |                                           torch.ao.nn.quantized.dynamic.modules.rnn
import time:      1683 |       5969 |                                         torch.ao.nn.quantized.dynamic.modules
import time:      1508 |       7476 |                                       torch.ao.nn.quantized.dynamic
import time:      1213 |       8689 |                                     torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:      1561 |      10249 |                                   torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:      1808 |      47674 |                                 torch.ao.nn.intrinsic.quantized.dynamic
import time:       814 |      48488 |                               torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       987 |      49474 |                             torch.nn.intrinsic.quantized.dynamic.modules
import time:      1223 |      50697 |                           torch.nn.intrinsic.quantized.dynamic
import time:      1328 |       1328 |                             torch.nn.intrinsic.quantized.modules.bn_relu
import time:       664 |        664 |                             torch.nn.intrinsic.quantized.modules.conv_relu
import time:       610 |        610 |                             torch.nn.intrinsic.quantized.modules.linear_relu
import time:      2249 |       4850 |                           torch.nn.intrinsic.quantized.modules
import time:      1193 |      56739 |                         torch.nn.intrinsic.quantized
import time:      1656 |      90584 |                       torch.nn.intrinsic
import time:      1045 |       1045 |                                       torch.ao.nn.qat.dynamic.modules.linear
import time:      1119 |       2164 |                                     torch.ao.nn.qat.dynamic.modules
import time:       991 |       3155 |                                   torch.ao.nn.qat.dynamic
import time:        29 |       3183 |                                 torch.ao.nn.qat.dynamic.modules
import time:        33 |       3216 |                               torch.ao.nn.qat.dynamic.modules.linear
import time:      1505 |       4720 |                             torch.nn.qat.dynamic.modules.linear
import time:      1307 |       6027 |                           torch.nn.qat.dynamic.modules
import time:      1627 |       7653 |                         torch.nn.qat.dynamic
import time:      1620 |       1620 |                           torch.nn.qat.modules.conv
import time:      1290 |       1290 |                           torch.nn.qat.modules.embedding_ops
import time:       945 |        945 |                           torch.nn.qat.modules.linear
import time:      2256 |       6108 |                         torch.nn.qat.modules
import time:      1078 |      14838 |                       torch.nn.qat
import time:      1436 |       1436 |                         torch.nn.quantizable.modules
import time:       863 |       2299 |                       torch.nn.quantizable
import time:      1941 |       1941 |                         torch.nn.quantized.dynamic
import time:       810 |        810 |                         torch.nn.quantized.functional
import time:      2259 |       2259 |                         torch.nn.quantized.modules
import time:      2259 |       7267 |                       torch.nn.quantized
import time:      1082 |       1082 |                       torch._size_docs
import time:       834 |        834 |                       torch._storage_docs
import time:      2567 |       2567 |                       torch._tensor_docs
import time:      1666 |       1666 |                                     torch.ao.quantization.quant_type
import time:      1964 |       3629 |                                   torch.ao.quantization.utils
import time:      5682 |       9311 |                                 torch.ao.quantization.observer
import time:      2644 |      11954 |                               torch.ao.quantization.fake_quantize
import time:      1146 |       1146 |                                 torch.ao.quantization.fuser_method_mappings
import time:      1114 |       2260 |                               torch.ao.quantization.fuse_modules
import time:      2484 |       2484 |                               torch.ao.quantization.qconfig
import time:      1220 |       1220 |                               torch.ao.quantization.qconfig_mapping
import time:      1707 |       1707 |                                       torch.ao.nn.quantized.reference.modules.utils
import time:      1846 |       3553 |                                     torch.ao.nn.quantized.reference.modules.conv
import time:       993 |        993 |                                     torch.ao.nn.quantized.reference.modules.linear
import time:      1505 |       1505 |                                     torch.ao.nn.quantized.reference.modules.rnn
import time:      1670 |       1670 |                                     torch.ao.nn.quantized.reference.modules.sparse
import time:      2286 |      10005 |                                   torch.ao.nn.quantized.reference.modules
import time:      1071 |      11076 |                                 torch.ao.nn.quantized.reference
import time:      1013 |       1013 |                                         torch.ao.nn.sparse.quantized.linear
import time:      1553 |       1553 |                                         torch.ao.nn.sparse.quantized.utils
import time:      1297 |       3863 |                                       torch.ao.nn.sparse.quantized.dynamic.linear
import time:      1286 |       5148 |                                     torch.ao.nn.sparse.quantized.dynamic
import time:      1721 |       6868 |                                   torch.ao.nn.sparse.quantized
import time:      1068 |       7936 |                                 torch.ao.nn.sparse
import time:      1290 |       1290 |                                 torch.ao.quantization.stubs
import time:      1719 |      22020 |                               torch.ao.quantization.quantization_mappings
import time:      1661 |       1661 |                               torch.ao.quantization.quantize
import time:      1076 |       1076 |                               torch.ao.quantization.quantize_jit
import time:      2967 |      45639 |                             torch.ao.quantization
import time:        40 |      45678 |                           torch.ao.quantization.fake_quantize
import time:      2601 |      48279 |                         torch.quantization.fake_quantize
import time:      1389 |       1389 |                         torch.quantization.fuse_modules
import time:      1218 |       1218 |                         torch.quantization.fuser_method_mappings
import time:      1426 |       1426 |                         torch.quantization.observer
import time:      1195 |       1195 |                         torch.quantization.qconfig
import time:       910 |        910 |                         torch.quantization.quant_type
import time:       886 |        886 |                         torch.quantization.quantization_mappings
import time:      1210 |       1210 |                         torch.quantization.quantize
import time:      1118 |       1118 |                         torch.quantization.quantize_jit
import time:       898 |        898 |                         torch.quantization.stubs
import time:      2427 |      60951 |                       torch.quantization
import time:      1795 |       1795 |                       torch.quasirandom
import time:      1483 |       1483 |                       torch.multiprocessing._atfork
import time:      1585 |       1585 |                       torch._lobpcg
import time:      1312 |       1312 |                           torch.masked._docs
import time:      1207 |       1207 |                                 torch.masked.maskedtensor.core
import time:      6629 |       7836 |                               torch.masked.maskedtensor.binary
import time:      4285 |       4285 |                               torch.masked.maskedtensor.passthrough
import time:      1324 |       1324 |                                 torch.masked.maskedtensor.creation
import time:      3069 |       4393 |                               torch.masked.maskedtensor.reductions
import time:      7168 |       7168 |                               torch.masked.maskedtensor.unary
import time:      2965 |      26645 |                             torch.masked.maskedtensor
import time:        47 |      26692 |                           torch.masked.maskedtensor.core
import time:      1984 |      29987 |                         torch.masked._ops
import time:      2271 |      32258 |                       torch.masked
import time:      1912 |       1912 |                       torch.utils.dlpack
import time:      1844 |       1844 |                                     torch._dispatch
import time:      2365 |       4209 |                                   torch._dispatch.python
import time:      3108 |       3108 |                                         torch._library.fake_profile
import time:      1377 |       1377 |                                           torch.utils._mode_utils
import time:     11452 |      12829 |                                         torch._subclasses.meta_utils
import time:      2694 |       2694 |                                         torch.utils._stats
import time:     20683 |      20683 |                                           torch.fx.experimental.sym_node
import time:      7619 |      28302 |                                         torch._subclasses._fake_tensor_utils
import time:      2359 |       2359 |                                           torch._custom_op
import time:     17910 |      20269 |                                         torch._subclasses.fake_impls
import time:     20444 |      87644 |                                       torch._subclasses.fake_tensor
import time:      2953 |       2953 |                                       torch._subclasses.fake_utils
import time:      1954 |      92549 |                                     torch._subclasses
import time:       172 |      92721 |                                   torch._subclasses.meta_utils
import time:      2605 |      99534 |                                 torch.fx.passes.shape_prop
import time:      1078 |       1078 |                                 pydot
import time:      2537 |     103148 |                               torch.fx.passes.graph_drawer
import time:      2362 |       2362 |                               torch.fx.passes.graph_manipulation
import time:      3432 |       3432 |                                       torch.fx.passes.utils.matcher_utils
import time:      1906 |       5338 |                                     torch.fx.passes.utils.common
import time:      2792 |       8129 |                                   torch.fx.passes.utils
import time:      3185 |       3185 |                                   torch.fx.passes.tools_common
import time:      3909 |      15222 |                                 torch.fx.passes.split_utils
import time:      3842 |      19063 |                               torch.fx.passes.net_min_base
import time:      2248 |       2248 |                               torch.fx.passes.operator_support
import time:      1917 |       1917 |                               torch.fx.passes.param_fetch
import time:      2146 |       2146 |                               torch.fx.passes.regional_inductor
import time:      2280 |       2280 |                               torch.fx.passes.reinplace
import time:      1334 |       1334 |                                 torch.fx._utils
import time:      3135 |       3135 |                                   torch._subclasses.functional_tensor
import time:      1542 |       1542 |                                   torch.utils._thunk
import time:      1391 |       1391 |                                   torch.fx.experimental._backward_state
import time:      6217 |      12283 |                                 torch.fx.experimental.proxy_tensor
import time:      1908 |      15524 |                               torch.fx.passes.runtime_assert
import time:      1821 |       1821 |                               torch.fx.passes.split_module
import time:      3472 |       3472 |                               torch.fx.passes.splitter_base
import time:      2255 |     156232 |                             torch.fx.passes
import time:      1418 |       1418 |                               torch.fx.passes.infra.pass_base
import time:      1769 |       3187 |                             torch.fx.passes.infra.pass_manager
import time:      2549 |     161967 |                           torch.fx.passes.infra
import time:        34 |     162001 |                         torch.fx.passes.infra.pass_base
import time:      2723 |       2723 |                         torch.export.custom_ops
import time:      1633 |       1633 |                         torch.export._state_dict_utils
import time:      1510 |       1510 |                               torch.export._tree_utils
import time:      9500 |       9500 |                               torch.export.graph_signature
import time:      1692 |       1692 |                                     torch._custom_op.autograd
import time:      3174 |       4866 |                                   torch._custom_op.impl
import time:      2138 |       7003 |                                 torch._custom_ops
import time:      2907 |       2907 |                                 torch._export.utils
import time:      3053 |       3053 |                                             torch._higher_order_ops.schema
import time:      3084 |       6137 |                                           torch._higher_order_ops.utils
import time:      3944 |      10080 |                                         torch._higher_order_ops.auto_functionalize
import time:      2461 |      12541 |                                       torch._higher_order_ops.base_hop
import time:      3426 |      15967 |                                     torch._higher_order_ops._invoke_quant
import time:      1705 |       1705 |                                     torch._higher_order_ops.aoti_call_delegate
import time:      1891 |       1891 |                                     torch._higher_order_ops.associative_scan
import time:      2626 |       2626 |                                     torch._higher_order_ops.cond
import time:      3108 |       3108 |                                       torch._higher_order_ops.invoke_leaf_function
import time:      1751 |       1751 |                                       torch._higher_order_ops.print
import time:      2033 |       2033 |                                           torch._functorch._aot_autograd
import time:      2436 |       4469 |                                         torch._functorch._aot_autograd.utils
import time:      1684 |       6153 |                                       torch._higher_order_ops.torchbind
import time:      2240 |      13250 |                                     torch._higher_order_ops.effects
import time:      1708 |       1708 |                                     torch._higher_order_ops.executorch_call_delegate
import time:      2259 |       2259 |                                     torch._higher_order_ops.flat_apply
import time:      2068 |       2068 |                                           torch.testing._internal
import time:      3213 |       5281 |                                         torch.testing._internal.logging_tensor
